,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],Compound,Concentration,Cell Type,Cell Count,coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Nuclei Selected,coloc AR - Object No in Spots AR,Unnamed: 25,trc
1557,4,6,2,54,6,1,20,833,"[16,829,24,837]",-1448.2,-932.25,,,,,0.0412238,26.2564,691,0.0617157,610.667,52,498.636,1.27733,4,4,,1
1561,4,6,2,57,6,1,19,816,"[14,814,22,823]",-1448.52,-930.06,,,,,0.0385339320914,23.2439335888,720,0.107723866777,579.962962963,58,476.053460889,1.26709906788,3,12,,1
1574,4,6,3,45,6,1,159,436,"[153,430,163,441]",-1427.81,-873.55,,,,,0.0357639658494,26.0426245211,829,0.0828547620656,702.137931034,72,646.028424877,1.1271648855,5,4,,1
1633,4,6,6,49,6,1,159,422,"[155,417,163,428]",-1427.71,-871.59,,,,,0.0538101307785,43.3270676692,938,0.103622153122,761.857142857,76,673.671232877,1.19521833683,6,4,,1
1691,4,6,1,47,7,1,60,173,"[57,169,66,177]",-1442.16,-1480.59,,,,,0.0508982920631,30.2192982456,669,0.0855983772819,563.5,57,398.829733745,1.48865354815,3,3,,1
1695,4,6,1,49,7,1,49,165,"[43,160,54,169]",-1443.96,-1479.36,,,,,0.043029507813,27.2092030361,721,0.0873753344685,605.129032258,68,444.526015002,1.42249995266,3,2,,1
1696,4,6,1,51,7,1,251,1539,"[249,1538,253,1542]",-1414.11,-1682.63,,,,,0.174334,73.2667,935,0.458658,347.0,15,319.971,1.31345,7,8,,1
1713,4,6,2,30,7,1,53,1614,"[46,1609,58,1622]",-1443.5,-1693.85,,,,,0.151425531249,79.3196721311,684,0.212228622065,444.5,122,428.180335731,1.22336228084,10,10,,1
1727,4,6,2,44,7,1,1045,1967,"[1041,1963,1050,1972]",-1296.69,-1745.72,,,,,0.074848,23.9214,385,0.131224,295.679,70,259.119,1.23341,13,13,,1
1769,4,6,3,29,7,1,40,1601,"[34,1594,46,1607]",-1445.37,-1691.62,,,,,0.118620408969,67.8269585253,695,0.159327042227,503.971428571,124,439.352174873,1.30145796424,4,6,,1
1786,4,6,3,51,7,1,501,23,"[497,18,505,30]",-1377.07,-1458.46,,,,,0.0358652,28.2095,875,0.0714286,758.333,70,644.007,1.22133,1,2,,1
1795,4,6,3,59,7,1,474,23,"[470,19,479,28]",-1381.02,-1458.42,,,,,0.0409544287993,27.676875,740,0.0661902429185,648.12,64,572.891415577,1.17962471879,1,2,,1
1808,4,6,4,34,7,1,66,1127,"[61,1123,73,1132]",-1441.37,-1621.54,,,,,0.0367344880619,24.2833333333,739,0.0743100816514,636.766666667,80,545.611246201,1.21157693248,6,9,,1
1835,4,6,4,54,7,3,59,148,"[55,144,66,155]",-1442.24,-1477.02,,,,,0.0713037,60.0753,968,0.106,782.452,93,511.032,1.64868,3,5,,1
1856,4,6,5,29,7,1,41,1599,"[37,1595,45,1606]",-1445.17,-1691.59,,,,,0.0655525419885,34.3818466354,619,0.116209176518,490.111111111,71,395.393473634,1.3265088898,7,2,,1
1877,4,6,5,50,7,1,1101,1987,"[1095,1980,1107,1995]",-1288.43,-1748.75,,,,,0.15090816259,89.4145658263,747,0.19510894408,503.095238095,153,470.860256702,1.25835594635,23,24,,1
1890,4,6,5,54,7,1,60,146,"[52,142,65,155]",-1442.5,-1476.89,,,,,0.0606396,47.6284,907,0.102866,737.806,106,496.491,1.58197,3,6,,1
1928,4,6,6,47,7,1,63,180,"[61,178,66,183]",-1441.84,-1481.64,,,,,0.025488,19.325,824,0.0544669,738.875,30,466.134,1.62657,3,2,,1
1936,4,6,6,50,7,3,1101,1988,"[1094,1980,1107,1995]",-1288.47,-1748.83,,,,,0.21029,145.361,942,0.26623,545.881,161,476.353,1.45111,19,20,,1
1937,4,6,6,51,7,1,1110,1983,"[1103,1976,1118,1991]",-1287.02,-1748.18,,,,,0.197695,143.485,969,0.249273,582.302,183,485.615,1.49457,16,9,,1
1965,4,6,6,64,7,3,250,1540,"[249,1539,253,1541]",-1414.08,-1682.62,,,,,0.158476,73.3611,923,0.406417,389.556,12,380.852,1.21548,24,31,,1
1976,4,6,7,34,7,2,71,2127,"[68,2120,74,2134]",-1440.73,-1769.38,,,,,0.0431623,27.1826,742,0.103679,602.594,76,541.243,1.16357,8,8,,1
1993,4,6,7,49,7,3,1097,1992,"[1092,1987,1100,1998]",-1289.13,-1749.48,,,,,0.0650027,43.6746,805,0.123349,628.214,63,465.215,1.44426,24,14,,1
1997,4,6,7,52,7,2,1114,1980,"[1111,1976,1120,1987]",-1286.23,-1747.85,,,,,0.0734953,50.3353,940,0.193998,634.542,65,487.114,1.40599,31,17,,1
1998,4,6,7,52,7,3,1110,1985,"[1105,1979,1118,1990]",-1287.03,-1748.45,,,,,0.13915,99.4936,990,0.233248,615.516,103,487.114,1.46785,31,18,,1
2002,4,6,7,54,7,1,1117,1971,"[1114,1967,1121,1978]",-1286.01,-1746.47,,,,,0.0444885333821,27.219890055,748,0.12260001035,584.620689655,69,482.010359286,1.2693515148,22,29,,1
2015,4,6,7,57,7,4,1124,1974,"[1121,1971,1129,1978]",-1284.83,-1746.83,,,,,0.0423416,27.1683,784,0.12122,614.476,45,487.21,1.31698,34,38,,1
2017,4,6,7,57,7,6,1124,1981,"[1119,1977,1129,1984]",-1285.09,-1747.75,,,,,0.0572499,35.5655,772,0.137245,585.667,56,487.21,1.27508,34,40,,1
2043,4,6,8,46,7,3,1080,2002,"[1072,1996,1088,2010]",-1291.58,-1751.02,,,,,0.154859,99.7892,831,0.2082,544.6,167,453.877,1.41975,14,10,,1
2048,4,6,8,49,7,1,1095,1992,"[1085,1986,1102,1999]",-1289.61,-1749.59,,,,,0.225578953343,171.859459459,1013,0.263880224579,590.0,185,472.523805885,1.61231973918,11,5,,1
2051,4,6,8,52,7,3,1116,1983,"[1111,1978,1120,1989]",-1286.28,-1748.1,,,,,0.0941222,82.6986,1184,0.196001,795.931,81,490.517,1.79123,38,30,,1
2054,4,6,8,55,7,1,466,14,"[462,10,471,20]",-1382.27,-1457.12,,,,,0.0385509,24.89,730,0.080881,620.75,75,552.155,1.16931,1,3,,1
2063,4,6,8,59,7,1,1130,1977,"[1121,1972,1136,1983]",-1284.33,-1747.35,,,,,0.203982475259,156.681853282,1005,0.243479133226,611.432432432,140,495.92064686,1.54886530855,30,12,,1
2098,4,6,1,49,8,4,405,593,"[400,589,410,598]",-422.58,-1542.72,,,,,0.0901857,58.0556,763,0.131478,585.679,79,476.259,1.35165,14,27,,1
2101,4,6,1,51,8,1,367,525,"[360,521,372,533]",-428.27,-1532.84,,,,,0.0605380934017,49.663030303,984,0.121561177791,770.696969697,100,634.736074631,1.29244269042,10,16,,1
2103,4,6,1,55,8,1,66,44,"[62,40,71,53]",-472.66,-1461.86,,,,,0.162159036769,110.473739496,944,0.246373997631,570.794117647,112,306.823151125,2.22039260937,1,1,,1
2104,4,6,1,56,8,1,59,51,"[54,46,64,58]",-473.73,-1462.55,,,,,0.173858456797,104.234705546,845,0.260908885372,495.303030303,106,298.953814674,2.00545270346,2,1,,1
2106,4,6,1,57,8,2,48,50,"[43,46,53,58]",-475.39,-1462.61,,,,,0.14217,80.2754,726,0.199636,484.367,95,291.306,1.93831,1,2,,1
2108,4,6,1,64,8,1,1377,202,"[1374,198,1382,208]",-278.82,-1485.03,,,,,0.064188034188,28.8846153846,509,0.0944878633751,421.115384615,66,362.84649602,1.24019386968,4,6,,1
2133,4,6,2,51,8,1,364,525,"[362,521,371,531]",-428.36,-1532.75,,,,,0.041314,35.0109,1019,0.112796,812.423,53,647.754,1.30826,8,15,,1
2135,4,6,2,52,8,1,363,524,"[359,517,368,530]",-428.78,-1532.46,,,,,0.0576440889494,42.8153089888,878,0.112845090506,699.9375,89,614.668443497,1.2083796018,9,11,,1
2139,4,6,2,55,8,1,66,45,"[61,40,72,53]",-472.62,-1461.79,,,,,0.140794873592,91.8243727599,832,0.195092269327,560.361111111,124,319.598835799,2.04063785852,3,2,,1
2140,4,6,2,56,8,1,59,50,"[55,46,64,57]",-473.72,-1462.5,,,,,0.155809,101.874,866,0.221466,551.968,95,318.949,2.04999,1,1,,1
2163,4,6,3,49,8,1,358,529,"[355,526,363,534]",-429.38,-1533.3,,,,,0.0466841,36.5681,907,0.0969071,746.741,68,616.405,1.27077,10,11,,1
2172,4,6,3,55,8,1,67,43,"[60,37,73,52]",-472.69,-1461.51,,,,,0.114076571766,66.2252024291,738,0.178624078624,514.307692308,152,315.076433121,1.84251449398,3,2,,1
2227,4,6,5,42,8,4,502,30,"[498,26,509,35]",-408.02,-1459.51,,,,,0.0295144,32.4333,1228,0.0704013,1066.47,80,896.72,1.22547,1,5,,1
2235,4,6,5,59,8,1,250,1495,"[249,1494,253,1499]",-445.36,-1676.16,,,,,0.109146865159,42.3611111111,888,0.439513677812,345.75,18,315.743417145,1.22919779174,19,14,,1
2237,4,6,5,61,8,1,250,1497,"[248,1495,252,1499]",-445.47,-1676.22,,,,,0.115615098907,52.1016042781,983,0.423044021846,398.545454545,17,354.606943758,1.27083540454,17,18,,1
2260,4,6,6,59,8,1,250,1496,"[249,1494,253,1499]",-445.41,-1676.23,,,,,0.127340981947,44.3970588235,825,0.461146778836,304.25,17,277.644016698,1.25573409782,23,20,,1
2262,4,6,6,61,8,2,251,1540,"[250,1538,252,1542]",-445.35,-1682.65,,,,,0.0476056,25.4646,997,0.323647,509.444,11,323.666,1.65266,21,12,,1
2274,4,6,7,43,8,1,116,103,"[113,99,120,107]",-465.31,-1470.2,,,,,0.0345044903104,19.9090909091,628,0.0598343050015,557.090909091,48,398.102854958,1.44937418261,9,3,,1
2287,4,6,7,54,8,3,97,176,"[94,172,105,182]",-467.82,-1481.23,,,,,0.0539075,23.559,541,0.133617,413.467,78,310.903,1.40566,13,9,,1
2291,4,6,7,61,8,1,250,1497,"[249,1496,252,1499]",-445.39,-1676.3,,,,,0.160295,62.8889,892,0.460566,329.444,12,289.217,1.35654,8,4,,1
2292,4,6,7,61,8,2,251,1538,"[250,1537,253,1541]",-445.27,-1682.48,,,,,0.0989823,45.2208,954,0.397151,411.636,14,289.217,1.57963,8,5,,1
2305,4,6,8,46,8,2,50,98,"[45,93,55,106]",-475.12,-1469.6,,,,,0.0803691,29.6262,457,0.148241,339.0,107,268.224,1.37432,4,3,,1
2307,4,6,8,48,8,2,47,110,"[40,105,52,117]",-475.64,-1471.36,,,,,0.100434,38.0078,480,0.17012,340.429,110,318.724,1.18735,2,6,,1
2318,4,6,8,61,8,1,251,1540,"[250,1538,253,1542]",-445.35,-1682.64,,,,,0.19594,87.9444,969,0.457265,360.889,12,249.475,1.79911,12,8,,1
2381,4,6,4,59,9,1,1104,1285,"[1100,1279,1109,1291]",649.42,-1644.96,,,,,0.0493914878141,26.190293742,602,0.0885397181693,504.068965517,81,410.86951258,1.29057825666,2,9,,1
2383,4,6,4,61,9,1,1095,1286,"[1089,1281,1101,1293]",648.08,-1645.27,,,,,0.0419189298276,22.71875,644,0.107242639158,519.25,96,418.01317746,1.29653508364,7,9,,1
2390,4,6,5,62,9,1,26,964,"[23,960,34,973]",490.38,-1597.84,,,,,0.045402229252,24.1308215594,625,0.103890222363,507.358974359,98,451.50255814,1.17715788391,2,1,,1
